Time,delta_D,p_BFA,p_BRA,throttle,gear,mu_N
00:00.000,0,0,0,0,1,1
00:00.010,0,0,0,0,1,1
00:00.020,0,0,0,0,1,1
00:00.030,0,0,0,0,1,1
00:00.040,0,0,0,0,1,1
00:00.050,0,0,0,0,1,1
00:00.060,0,0,0,0,1,1
00:00.070,0,0,0,0,1,1
00:00.080,0,0,0,0,1,1
00:00.090,0,0,0,0,1,1
00:00.100,0,0,0,0,1,1
00:00.110,0,0,0,0,1,1
00:00.120,0,0,0,0,1,1
00:00.130,0,0,0,0,1,1
00:00.140,0,0,0,0,1,1
00:00.150,0,0,0,0,1,1
00:00.160,0,0,0,0,1,1
00:00.170,0,0,0,0,1,1
00:00.180,0,0,0,0,1,1
00:00.190,0,0,0,0,1,1
00:00.200,0,0,0,0,1,1
00:00.210,0,0,0,0,1,1
00:00.220,0,0,0,0,1,1
00:00.230,0,0,0,0,1,1
00:00.240,0,0,0,0,1,1
00:00.250,0,0,0,0,1,1
00:00.260,0,0,0,0,1,1
00:00.270,0,0,0,0,1,1
00:00.280,0,0,0,0,1,1
00:00.290,0,0,0,0,1,1
00:00.300,0,0,0,0,1,1
00:00.310,0,0,0,0,1,1
00:00.320,0,0,0,0,1,1
00:00.330,0,0,0,0,1,1
00:00.340,0,0,0,0,1,1
00:00.350,0,0,0,0,1,1
00:00.360,0,0,0,0,1,1
00:00.370,0,0,0,0,1,1
00:00.380,0,0,0,0,1,1
00:00.390,0,0,0,0,1,1
00:00.400,0,0,0,0,1,1
00:00.410,0,0,0,0,1,1
00:00.420,0,0,0,0,1,1
00:00.430,0,0,0,0,1,1
00:00.440,0,0,0,0,1,1
00:00.450,0,0,0,0,1,1
00:00.460,0,0,0,0,1,1
00:00.470,0,0,0,0,1,1
00:00.480,0,0,0,0,1,1
00:00.490,0,0,0,0,1,1
00:00.500,0,0,0,0,1,1
00:00.510,0,0,0,0,1,1
00:00.520,0,0,0,0,1,1
00:00.530,0,0,0,0,1,1
00:00.540,0,0,0,0,1,1
00:00.550,0,0,0,0,1,1
00:00.560,0,0,0,0,1,1
